comm,strategy,contract,lot
ag,chg2_shag_night,ag2006,2
fu,chg5_shfu_night,fu2005,5
ni,chg6_shni_night,ni2003,1
ni,cpv5_shni_night,ni2003,1
rb,chg1_shrb_night,rb2005,8
rb,rpv0_shrb_night,rb2005,32
ru,chg5_shru_night,ru2005,10
ru,rpv2_shru_night,ru2005,2
sp,rpv0_shsp_night,sp2005,17
sp,rpv1_shsp_night,sp2005,5
ag,tst2_shag_night,ag2006,2
cu,hv7_shcu_night,cu2003,4
cu,hv8_shcu_night,cu2003,4
cu,tst0_shcu_night,cu2003,1
cu,tst3_shcu_night,cu2003,1
fu,hv3_shfu_night,fu2005,4
hc,hv7_shhc_night,hc2005,2
hc,hv8_shhc_night,hc2005,3
rb,tst0_shrb_night,rb2005,15
ru,hv3_shru_night,ru2005,1
ru,tst1_shru_night,ru2005,1
ru,tst2_shru_night,ru2005,4
ru,tst3_shru_night,ru2005,3
ru,tst9_shru_night,ru2005,1
ru,xpv7_shru_night,ru2005,14
sp,hv8_shsp_night,sp2005,1
sp,tst1_shsp_night,sp2005,12
sp,tst2_shsp_night,sp2005,3
sp,tst6_shsp_night,sp2005,17
sp,tst9_shsp_night,sp2005,4
ss,tst1_shss_night,ss2006,1
