comm_no,strategy,contract,lot
ap,hv3_zzap_day,AP005,6
ap,hv5_zzap_day,AP005,6
ap,hv9_zzap_day,AP005,6
cf,hv7_zzcf_day,CF005,2
cf,hv8_zzcf_day,CF005,3
cf,hv9_zzcf_day,CF005,2
cj,hv8_zzcj_day,CJ005,1
cj,hv9_zzcj_day,CJ005,3
ma,hv3_zzma_day,MA005,4
ma,hv8_zzma_day,MA005,1
oi,hv3_zzoi_day,OI005,1
sa,tst0_zzsa_day,SA005,1
sa,tst1_zzsa_day,SA005,2
sf,hv8_zzsf_day,SF005,1
sf,hv9_zzsf_day,SF005,1
sf,tst7_zzsf_day,SF005,7
sf,tst8_zzsf_day,SF005,2
sf,tst9_zzsf_day,SF005,2
sf,xpv3_zzsf_day,SF005,7
sf,xpv4_zzsf_day,SF005,7
sm,hv8_zzsm_day,SM005,1
sm,hv9_zzsm_day,SM005,1
sm,tst2_zzsm_day,SM005,1
sm,xpv3_zzsm_day,SM005,2
sr,hv9_zzsr_day,SR005,2
ta,hv7_zzta_day,TA005,1
ta,hv8_zzta_day,TA005,2
ta,hv9_zzta_day,TA005,1
ur,tst0_zzur_day,UR005,1
ur,xpv2_zzur_day,UR005,1
zc,hv9_zzzc_day,ZC005,1
zc,tst1_zzzc_day,ZC005,1
