comm_no,strategy,contract,lot
cu,ipv9_shcu_day,cu2006,3
sp,mpv2_shsp_day,sp2009,4
ag,rpv2_shag_day,ag2006,6
ag,rpv3_shag_day,ag2006,3
bu,cpv2_shbu_day,bu2006,1
bu,tpv2_shbu_day,bu2006,8
cu,cpv6_shcu_day,cu2006,3
cu,tpv9_shcu_day,cu2006,3
hc,rpv3_shhc_day,hc2010,1
rb,cpv5_shrb_day,rb2010,6
al,xpv2_shal_day,al2006,4
au,hv5_shau_day,au2006,6
au,hv7_shau_day,au2006,1
bu,tst2_shbu_day,bu2006,6
bu,tst6_shbu_day,bu2006,1
bu,tst8_shbu_day,bu2006,1
fu,xpv0_shfu_day,fu2009,12
hc,hv7_shhc_day,hc2010,1
pb,hv5_shpb_day,pb2005,4
rb,tst7_shrb_day,rb2010,10
ru,xpv3_shru_day,ru2009,1
ss,hv7_shss_day,ss2006,2
zn,tst9_shzn_day,zn2006,1
zn,xpv0_shzn_day,zn2006,1
zn,xpv2_shzn_day,zn2006,1
