comm,strategy,contract,lot
au,avgp0_shau_night,au2006,1
ni,ipv5_shni_night,ni2004,1
ni,mpv5_shni_night,ni2004,1
ss,ipv2_shss_night,ss2006,1
cu,chg1_shcu_night,cu2003,1
fu,chg5_shfu_night,fu2005,2
ni,chg6_shni_night,ni2004,1
ni,cpv6_shni_night,ni2004,1
rb,chg1_shrb_night,rb2005,1
rb,rpv0_shrb_night,rb2005,1
ru,chg5_shru_night,ru2005,1
al,tst0_shal_night,al2003,1
cu,hv7_shcu_night,cu2003,1
cu,tst0_shcu_night,cu2003,1
fu,tst3_shfu_night,fu2005,3
fu,tst9_shfu_night,fu2005,1
hc,hv5_shhc_night,hc2005,1
rb,tst0_shrb_night,rb2005,1
rb,tst2_shrb_night,rb2005,3
ru,hv3_shru_night,ru2005,1
ru,tst3_shru_night,ru2005,1
sp,tst0_shsp_night,sp2005,1
sp,tst1_shsp_night,sp2005,1
